Function Name,Algorithm,Best Solution,Best Fitness,Execution Time (s),Error Message
sphere,SSA,[-8.73732147e-08  5.93697088e-08],1.1158840973633713e-14,0.053316593170166016,
sphere,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
sphere,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
three_hump_camel,PCO,[0.00160978 0.0007031 ],3.693828227512046e-06,0.5305123329162598,
three_hump_camel,GA,[0.52719835 0.5283345 ],1.0360169951761558,0.24605202674865723,
three_hump_camel,PSO,[-1.30901430e-11  1.44476392e-11],3.623163037697159e-22,0.011967897415161133,
three_hump_camel,SA,[0.5 0.5],0.9369791666666667,0.0014863014221191406,
three_hump_camel,GOA,[0.1328836  0.21096069],0.10752725430154114,1.6500680446624756,
three_hump_camel,DA,[-0.24543654 -0.91706606],1.1827961169348202,0.3272712230682373,
three_hump_camel,SSA,[1.03430248e-08 1.61500513e-07],2.7966775956410796e-14,0.037517547607421875,
three_hump_camel,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
three_hump_camel,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
F1,PCO,[-0.00250646 -0.00504457],3.950866252302283e-06,0.5459778308868408,
F1,GA,[0.51339319 0.64262284],0.6765366790591093,0.24739861488342285,
F1,PSO,[4.36582208e-12 1.12040018e-11],1.4459005905274733e-22,0.03639817237854004,
F1,SA,[0.5 0.5],0.5,0.0021178722381591797,
F1,GOA,[0.1328836  0.21096069],0.06216246487084014,1.5835094451904297,
F1,DA,[-0.24543654 -0.91706606],0.90124925664182,0.3338968753814697,
F1,SSA,[-8.73732147e-08  5.93697088e-08],1.1158840973633713e-14,0.05224871635437012,
F1,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
F1,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
F10,PCO,[0.00086309 0.0075641 ],0.005226558922423852,0.6356115341186523,
F10,GA,[1.0277475  1.00818044],3.7065698407691916,0.3202054500579834,
F10,PSO,[1.26532624e-12 6.90168022e-12],1.9845902698989448e-11,0.06675004959106445,
F10,SA,[0.5 0.5],4.253654026568412,0.0035893917083740234,
F10,GOA,[0.1328836  0.21096069],1.8318074330569627,1.6347846984863281,
F10,DA,[-0.24543654 -0.91706606],3.665841283256022,0.3791675567626953,
F10,SSA,[-8.73732147e-08  5.93697088e-08],2.987823717326421e-07,0.09380316734313965,
F10,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
F10,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
F11,PCO,[0.00204996 0.01142809],1.1551488210415073e-08,0.6870179176330566,
F11,GA,[6.23593722 8.90384519],0.03073894935313548,0.33861398696899414,
F11,PSO,[-4.93901387e-09  8.07923029e-09],0.0,0.053849220275878906,
F11,SA,[0.5 0.5],0.1768223807026471,0.0051190853118896484,
F11,GOA,[-3.17833833 -4.48332373],0.00863411329311048,1.7308340072631836,
F11,DA,[3.31586486 4.91778572],0.07895116648636658,0.39602136611938477,
F11,SSA,[3.22803467e-09 2.48609952e-08],1.1102230246251565e-16,0.09163808822631836,
F11,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
F11,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
F12,PCO,[-1.49881921 -2.53868888],2.859910127553434e-06,1.1255443096160889,
F12,GA,[2.94487057 3.01296952],3.139810747317865,0.6742217540740967,
F12,PSO,[-1. -1.],1.96719236998691e-22,0.22423624992370605,
F12,SA,[0.5 0.5],15.734813457334306,0.009569644927978516,
F12,GOA,[-0.9674192  -1.03765939],0.010527557900067135,2.0752060413360596,
F12,DA,[-1.27515967 -1.13307462],0.7322474437030829,0.5079903602600098,
F12,SSA,[-0.99999998 -1.00000016],5.8756836570722e-15,0.21794486045837402,
F12,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
F12,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
F13,PCO,[1.00225064 1.00118354],5.375970543471096e-08,1.0623526573181152,
F13,GA,[1.01685687 1.00457862],0.0025334404639364115,0.5242762565612793,
F13,PSO,[1. 1.],1.523084257346079e-20,0.23215198516845703,
F13,SA,[0.5 0.5],0.17500000000000002,0.010051488876342773,
F13,GOA,[1.32502209 0.91272111],0.017819485211403634,2.182311773300171,
F13,DA,[ 2.31660019 -0.29660385],0.5179941882091929,0.5547680854797363,
F13,SSA,[1.00000001 1.00000006],6.341362873884665e-16,0.1768035888671875,
F13,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
F13,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
F14,PCO,N/A,N/A,N/A,index 20 is out of bounds for axis 0 with size 20
F14,GA,[0.56626782 0.67054021],12.788144401458483,0.44559741020202637,
F14,PSO,[-0.02779192 -0.02779177],12.670505811135557,0.11740708351135254,
F14,SA,[0.5 0.5],12.70018911126252,0.00540614128112793,
F14,GOA,[0.1328836  0.21096069],12.670594673083524,1.7971031665802002,
F14,DA,[-0.24543654 -0.91706606],13.23513018543972,0.4665076732635498,
F14,SSA,[-0.02779098  0.02777911],12.670505811135852,0.14318013191223145,
F14,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
F14,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
F15,PCO,N/A,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,GA,N/A,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,PSO,N/A,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,SA,N/A,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,GOA,N/A,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,DA,N/A,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,SSA,N/A,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,WOA,N/A,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F15,MPA,N/A,N/A,N/A,index 2 is out of bounds for axis 0 with size 2
F16,PCO,[ 0.09214851 -0.71655714],-1.0316246849944952,0.5515968799591064,
F16,GA,[0.62472663 0.64262284],0.692839842539562,0.2411210536956787,
F16,PSO,[-0.08984201  0.7126564 ],-1.0316284534898776,0.015579938888549805,
F16,SA,[0.5 0.5],0.3739583333333334,0.0015997886657714844,
F16,GOA,[-0.21603856  0.77450087],-0.9452906691372014,1.8390119075775146,
F16,DA,[-0.24543654 -0.91706606],-0.07635788733403315,0.34239912033081055,
F16,SSA,[ 0.08984195 -0.71265638],-1.0316284534898594,0.039797306060791016,
