Function Name,Algorithm,Best Solution,Best Fitness,Execution Time (s),Error Message
six_hump_camel_back,DA,[-0.24543654 -0.91706606],-0.07635788733403309,0.33832621574401855,
six_hump_camel_back,SSA,[ 0.08984195 -0.71265638],-1.0316284534898597,0.04204058647155762,
six_hump_camel_back,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
six_hump_camel_back,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
sphere,PCO,[-0.00250646 -0.00504457],3.950866252302283e-06,0.5620968341827393,
sphere,GA,[0.51339319 0.64262284],0.6765366790591093,0.2555561065673828,
sphere,PSO,[4.36582208e-12 1.12040018e-11],1.4459005905274733e-22,0.02437877655029297,
sphere,SA,[0.5 0.5],0.5,0.0021538734436035156,
sphere,GOA,[0.1328836  0.21096069],0.06216246487084014,1.611316442489624,
sphere,DA,[-0.24543654 -0.91706606],0.90124925664182,0.3484208583831787,
sphere,SSA,[-8.73732147e-08  5.93697088e-08],1.1158840973633713e-14,0.055927276611328125,
sphere,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
sphere,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
three_hump_camel,PCO,[0.00160978 0.0007031 ],3.693828227512046e-06,0.5378751754760742,
three_hump_camel,GA,[0.52719835 0.5283345 ],1.0360169951761558,0.23860669136047363,
three_hump_camel,PSO,[-1.30901430e-11  1.44476392e-11],3.623163037697159e-22,0.012253284454345703,
three_hump_camel,SA,[0.5 0.5],0.9369791666666667,0.0024111270904541016,
three_hump_camel,GOA,[0.1328836  0.21096069],0.10752725430154114,1.6091723442077637,
three_hump_camel,DA,[-0.24543654 -0.91706606],1.1827961169348202,0.3452928066253662,
three_hump_camel,SSA,[1.03430248e-08 1.61500513e-07],2.7966775956410796e-14,0.04732322692871094,
three_hump_camel,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
three_hump_camel,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
